"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A";1;"USB_C_Receptacle_USB2.0_16P";;;
2;"SW1";"SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile";1;"SW_DPST_x2";;;
3;"U2";"WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm";1;"W25Q128JVS";;;
4;"C6,C4,C5";"C_0805_2012Metric";3;"100n";;;
5;"R8,R7";"R_0805_2012Metric";2;"10k";;;
6;"J1";"PinSocket_1x08_P2.54mm_Vertical";1;"MPU6050";;;
7;"R2";"R_0805_2012Metric";1;"27k";;;
8;"C2,C3";"C_0805_2012Metric";2;"1u";;;
9;"C1";"C_0805_2012Metric";1;"4.7u";;;
10;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
11;"R3,R4";"R_0805_2012Metric";2;"5.1k";;;
12;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
13;"R1";"R_0805_2012Metric";1;"470";;;
14;"R6,R5";"R_0805_2012Metric";2;"1k";;;
15;"U4";"SOT-23-5";1;"MCP73831-2-OT";;;
16;"U5";"SOT-23";1;"MCP1700x-330xxTT";;;
17;"D1";"LED_0805_2012Metric";1;"LED";;;
18;"BT1";"BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032";1;"LIR2032";;;
